,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,mutation_base
0_2500_5,-0.0012507958925731,-0.0008553332638806,0.0013939966483848,-0.0002900695156261,-3.251491753422804e-05,2.2294629568447627e-05,-0.0004371664657445,-0.0013667030737117,-0.0070837361432533,0.0227824045319833,-0.0079652753543832,0.0031198125413493,-0.0001035327404063,-0.000263820394692,0.0003363372193622,0.0014784127389697,0.0002873520769138,0.0010588129217297,0.002474388211071,0.0005106897577002,-0.0001908347191522,-0.0017074174657168,-0.0148431936266949,-0.0101140956030293,0.0004433697197312,-0.0020230813494945,-0.0035300374178426,0.0121160132910616,-0.01151658850143,-0.0041528725300005,-0.0019762278561541,-0.0023280216319397,-0.0012439765788462,0.0006099443217124,-0.0023793513393819,0.0033947498466842,-0.0064463005101359,-0.0026697339529746,-0.0003717778933705,1.960690726778071e-05,0.0005692720599374,5.944160820806063e-05,2.6658824921783156e-05,-0.0007749379513167,-0.0003746947295641,5.106487983290254e-05,rand
1_2500_5,0.0120493167032384,-0.003810139216846,-0.0072850339534007,-0.0042730890756651,-0.0042835597467654,-0.0106243176136203,-0.0049796764527378,-0.0020098881914964,0.0024388104400197,0.0051736078223264,0.0031820876979536,0.0049824318551775,0.0044818557689242,0.0032535383147126,0.0053541955401484,0.0061711685459099,0.0008312185751588,0.0001716825930121,0.0045494153335134,0.0010669934792974,-0.0019970556953215,-0.0054610873207794,0.0095084719631607,0.0018712345679366,-0.003782298591954,-0.0010449310171233,-0.0016139115495436,-0.0068186620510941,0.0121859548586607,-0.0115733497193617,0.0021441183347783,-0.0027485742037661,0.0072794984001529,-0.0045020386948756,-0.0431807889706429,0.0019292433932435,-0.0038192290443309,-0.0137365076423208,-0.0107926005305539,0.0004849456367247,2.854492222433773e-05,-0.0039226852551341,-0.011311511240576,0.0037495720746917,-0.0029285004240934,0.0024511990459844,rand
2_2500_5,-9.948451094726304e-05,-7.572406746652261e-05,5.589386824145204e-05,-0.0013973270934749,-0.0014996670489813,-1.1264971910776991e-05,0.0002717665444815,0.0002562885185275,-0.0098740762401389,0.0220004116135075,-0.0041723598190643,0.0160991588970747,-0.0002251922018849,-0.0001692276901434,0.0024317750456065,0.0012615332508654,0.0001282142491165,-0.0001310655419702,0.0022104189914135,0.0009321795226824,8.349772921391429e-05,-0.0007133129228304,-0.0089589182711189,-0.0086306201158232,0.0003325332422646,-0.0054314560645406,-0.0060928830759029,-0.0034558675377437,-0.0063346904838451,-0.003683141010596,-0.000827559993658,-0.0033574908697302,-0.0026112077328517,0.0002949646229025,-0.0029564970787236,0.0017422345788509,-0.0057265017103213,0.0002172851451837,0.0001305767044278,-8.1575516764017e-05,0.0001562691244378,-0.000134488239042,-0.0002629240038226,-0.0002852021050724,0.0001835098698417,-0.0014754701249019,rand
3_2500_5,-0.0026242204778358,-0.003730645200249,-0.0041761435100067,-0.0002672409807839,-0.0050744798090507,0.0018940153593651,-0.0012072104457553,-0.0016817793894685,-0.0039963443092583,-0.0016622104157889,0.0124042701587406,0.0084080322728191,-0.0012232901706374,-0.0025101389099346,0.0007291192777512,0.0013464315255537,0.0007651565056537,0.004491922388173,0.005596921708557,0.00243215832669,-0.0009964069489857,-0.0095240006861009,-0.0018306007175647,0.0008450154785112,-0.0042919279186955,0.005081206580899,0.0035313464679643,-0.0120068487193313,-0.0041468604891658,-0.0141600210784543,-0.0042364058906915,-0.0001899495707064,0.0075442774731668,-0.0007306741807136,-0.021056964236844,0.0013059914613631,-0.0013548616944749,0.0035208679259754,0.0001944673263686,0.0013704788601728,-0.0026474516220977,-0.0040214531782419,0.0034999640263872,-0.000686371966171,0.0017858535635324,-0.0019408039790569,rand
4_2500_5,-2.493273159579945e-05,-0.0006553689954536,-4.173047388457889e-05,-0.0012729230734515,-0.0029126630434695,0.0049178316500914,-0.0005833997703166,-0.003326785861504,-0.0045952657376376,0.0130420941626336,0.0017036326663634,0.0131358463658913,0.0002286416254259,-0.0003383245896177,0.0023410010283462,0.0013909292115432,-0.0006460216077797,0.0006381139011135,0.001592462191679,-0.0004699545066618,0.0007658417233666,-0.004061747143451,-0.0024331488541637,-0.0114226787186882,-0.0003509373539175,-0.0069463980413424,-0.0032362820763391,4.53239337923689e-05,-0.0035447359556192,-0.0024339259191916,-0.0044225208802894,-0.0014822107946268,-0.001748016610676,-0.0005665083657035,-0.0026554726384033,0.003521383271975,-0.0056940975093661,0.0002227643315962,5.257528363047215e-05,7.231103077245202e-05,0.0004616592004794,0.0004020722394021,-0.0016469990275456,-0.0002359361267578,-0.0001391268966923,-0.0007547341571385,rand
5_2500_5,-0.0037478612334404,-0.0089418680853145,-0.0008066212864967,0.0011858727278101,-0.0032881492892691,-0.0052256820250691,-0.0022558391925694,-0.0118475127742019,0.0095531592541106,-0.0007512585981117,0.0189314589830759,-0.007060537951326,-0.002662052682734,0.0014212843264526,0.0042256654175044,0.006121527435445,-0.0005421600330456,0.0035196578099283,0.0021382843194192,0.0059511244506329,-0.000928271112229,0.0044866015489976,-0.0051392478682643,-0.0046308102826547,-0.0063346331456611,0.0077538057441423,0.0027170333352481,-0.0015800436620141,0.0113239014178837,-0.0031278244060824,0.0033461475684145,-0.0013572184873945,0.009686056375305,-0.0004507916254098,-0.0532558712186655,0.0045149851700439,-0.009377084181848,-0.0014052095959347,-0.0007845408235742,0.000246978195445,-0.0039024621261085,-0.0013705630897391,-0.0031600991135032,-0.0033706726540328,-0.003463962415134,-0.0022325802517387,rand
6_2500_5,0.0001689435548717,-0.0002816178261366,-0.000157408931638,-0.0007262455900743,-0.0040106242932836,-0.0005339729471645,-5.585385643597198e-05,-0.0006388782290249,-0.0034127303651567,0.0082719543610668,-0.0094526742248716,0.0186164476081889,-6.2506382495743e-05,-0.0007417941761558,0.0019468359795022,0.0062064587113994,-0.00026855875792,-0.0003195437175136,0.0003569427551798,-0.0024798785217405,0.0012217474065277,-0.0045840217844939,0.0056664691442986,-0.0052922602186634,-0.0005142778470686,-0.0087977673858629,-0.0023431889534669,-0.0153786898405206,-0.0073150869047455,-0.003207401028369,-0.0028433576044308,-0.0023056220860788,0.0005455072123385,-0.0020945002476819,-0.004096104629159,0.0022306470687582,-0.001520842197214,0.0019840653217481,-0.0002328391664037,-0.0004776131595488,-0.0006937694899706,0.0007942577687678,-0.0023226871509038,-0.0002214750466865,-0.0005833410956966,0.002527543889283,rand
7_2500_5,-0.0005459237401743,-0.0004654796491025,-4.637859792923316e-05,3.2707293740638066e-05,-0.0008197451698914,-0.0007038496379248,-0.0005329867677329,0.0004984523720081,-0.0003038694582138,0.0142644718047397,0.0067522417328534,0.0071499059179188,0.0012044588857429,0.0005865849748114,0.0026364439384618,0.0007111476441154,0.0006174482244221,0.0007904572329983,0.0037782386132202,0.0021087685240764,-0.0006849872982235,-0.0016879146230721,-0.0030514657310412,0.0075849404004796,-0.0056695285048859,0.0032787063053674,0.0059331390823949,-0.0157878386997881,-0.0054324321132187,-0.0206537273147929,-0.0011859085613247,-0.0008047154187053,-0.0013291186744904,-0.0005839409986876,-0.0472422549709982,0.0002612434734058,-0.0060921995215917,-0.0004766451991182,-0.0005965395357197,-0.0002566124689254,0.0002016085457403,-0.000636541334634,-0.0007284562098859,-0.0001685688493635,0.000751239465484,0.0012743131291653,rand
8_2500_5,-0.0010233098467958,-0.0003205272234642,0.0007903246583131,-0.0006130406733508,-0.0033154143172737,0.002659113111073,0.0011016248397803,0.0006520807813106,-0.0059350520863511,0.0073978764171023,0.0014182298394457,-0.0006597340894584,0.0002761707255683,-8.417408144023731e-06,0.0003312879588325,0.0022406439000555,-0.0006104247961065,-0.0005242022490301,0.0012805212241244,-0.0023228869714068,6.231674822603708e-05,-0.000506657215002,-0.0016009667528888,-0.0077909938869617,-1.492867785553905e-05,-0.0063961478562126,-0.0081483268368898,-0.0041580377674642,-0.0065282396618068,-0.0023597452462238,-0.0024938465925304,-0.0011089786071983,-0.0004605339024226,0.0001033790677457,-0.0018427984187514,0.0020526364130176,-0.0031279549568181,0.0012363481871137,-0.0008534615469541,0.0001505490065419,-0.000566916584041,0.0005033532012234,5.844374802401809e-05,-0.0014458300187137,-0.0003247555698353,0.0047902701783343,rand
9_2500_5,-0.0017644291125044,-0.0021771073538936,-0.0017437445420357,0.0014089244398066,0.0006994926247782,-0.0003223761519948,-0.0035513937814224,0.0001850014022386,0.0055069496922309,0.0039683165428728,-0.000233177377625,4.596958853838199e-05,-0.0005536307711883,0.0002215848213304,-0.0004451358673499,0.0008528887319252,0.0019824136785705,0.0058459750057618,0.0004285024469875,0.0011856365012684,-0.0023308215926409,-0.0017828029566043,0.0004302331013021,0.00834819720192,-0.0100129789667438,0.001712415346886,0.0017656446461034,-0.0054312774192102,-0.0068080372903362,-0.0076122803190894,0.0014518716224796,2.8432835045351048e-05,0.0021274246922804,0.0027768146407969,-0.0442663326773823,0.0026859796389339,-0.0016183211668596,-0.0028312449752929,-0.0021517393226455,-0.0008079315590754,-0.0002285544395481,-0.0029168684045008,0.0005839310836292,0.0012340838409889,7.370171773902916e-05,-0.0004839761167541,rand
