,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,base_sampler
0_30000_30,0.0004695600254586,-0.0113243352866181,-0.000440876826612,0.0045991895770901,-0.0049483825727391,-0.0046670875447114,0.0027274663447861,0.0192154440989936,-0.0025111349371939,-0.0086968614951829,5.3720416729574846e-05,0.01104263676219,0.0025067867552635,-0.0037899913116701,0.008472531025092,0.004128328374384,-0.0025566062763768,0.0062293022550184,0.0082200965132292,0.0039182874234251,0.0033201575952878,-0.0056407404520461,-0.0078146124489222,0.0021320569863111,-0.0128932360269041,-0.0036969385388918,0.0096751261970786,0.0111787402020215,-0.0003202360857997,-0.0068600721550365,-0.0083517995828517,-0.0010762504314806,-0.0096992477685952,0.0092575247256115,-0.0181055605274229,-0.0078819620234418,-0.0154341324377305,-0.0018782009931863,0.0018902810756115,0.0056019470394692,0.0056568246841548,-0.0180802415008212,-0.0059819146797568,-0.0013954887479338,0.0090419113566993,0.0046943748749968,gaussian
1_30000_30,-0.00430129308847,-0.0041442826504579,-0.0031193745641984,0.012145121563165,-0.0052997072945404,-0.0039073946483551,-0.0023346065672861,0.0101321540599284,-0.0038571685465108,-0.0102915884963662,-0.000705219693731,0.0107807877176378,-0.0020897143672691,-0.0005348463527265,0.0096596682854451,0.0103392908073568,-0.003981045806008,0.0002063852431567,0.0083763740733715,0.0057860884583905,-0.0015695372840229,-0.0053568487702781,-0.000203887916515,-0.0018217311954184,-0.0054494569554042,0.0061689490834367,0.0088337624334047,0.0035466001515858,-0.0041342946418423,-0.000415325456218,-0.0026947423628466,-0.00651752861615,-0.0087852769996488,0.0124525334720799,-0.0050836585130946,-0.0030381230497164,-0.0119037357062229,-0.0017221887807975,-0.0038191767792934,-0.0011271328138265,0.0115000145427783,-0.0068951558431055,-0.0065882544014971,-0.0040357643608663,0.0055057902932618,0.0067725846539832,gaussian
2_30000_30,-0.0033039784730615,-0.0059230057244767,0.0042340339823222,0.0126453932312225,-0.0060000202806092,-0.0050722615115955,-0.0063402797200923,0.0114376950601608,-0.0080788374287242,-0.0085364033577961,0.0042279361561589,0.0112640357183541,-0.0032898162803578,-0.0004622142231951,0.007547432900227,0.0084654560257631,-0.0018819106743992,0.0046036240690397,0.0109068555631075,0.0078070801841983,0.0038585721787234,0.0001279851591051,-0.0070606901928435,0.0006364952110239,-0.0108175231494782,0.0042113320900505,0.0036539835419325,0.0060931660824439,0.0025004065485238,0.0033650765915084,-0.0082938723529891,-0.001344730144564,-0.0057780997076447,0.010236238398836,-0.0076887306174056,-0.0033577418234402,-0.0148895364924406,-0.0040994809498838,-0.007362066641315,-0.0001218647978495,0.0120383705635274,-0.0088903182707197,-0.0051719221481493,-0.0014326504945316,0.0082746289279162,0.0012703839643209,gaussian
3_30000_30,-0.0036847161093568,0.0029588024437842,0.0002788505739627,0.0015831088433269,-0.0035166896118374,-0.0008695644936052,0.0023782941989555,0.0031802017862795,-0.0051776238018122,-0.0151044861820555,-0.0178975948501896,-0.0039352061283381,0.0038895753240079,0.0038203524029863,0.002475386329418,-0.0008205448703474,0.0021262641117796,0.0229544101537339,0.0040564694795355,0.0021180962490659,8.734113531233549e-05,-0.0023204665892814,-0.02248195814346,-0.0022649266837861,-0.0199375872331255,-0.0051510762383727,-0.0030650337048972,0.009158937448178,-0.0082746048684472,0.0185606143074069,-0.0072035797333233,-0.0052244713182471,-0.011403845400943,0.011698004599822,-0.0066668149794536,-0.0081525451674756,-0.0079419542576769,-0.0013741390613817,-0.0020572968928892,-0.0002796454751648,0.0045769708852799,-0.000986099811711,-0.0021374843630919,0.000848849033757,0.0027503644164026,-0.0107850852835943,gaussian
4_30000_30,-0.0035932086035141,-0.0049666616010228,-0.0080289067578241,0.0043825943326848,-0.0076216371195135,-0.0131878131297801,0.0018831199721606,0.0088169796158011,-0.0084875437065006,-0.0088240206466761,0.0050187818482803,0.0049022259394758,-0.0036522001043254,-0.0001529867153231,0.0075803392878123,0.0106470298510215,-0.0024950245003524,0.0023203010339915,-0.0020759979555517,0.007339889161132,-0.000228927411482,-0.0038567392441144,-0.0077539605512347,0.0001667692468617,-0.0037662363567305,-0.0021285071294907,0.0100772281403681,0.0022789545716764,0.0134283297159895,-0.0019184585554703,-0.0027399589026424,-0.0010065134431253,-0.0061306576550702,0.0140801473389874,-0.0096566295618368,-0.0040048701838221,-0.0141082963559996,-0.0053353842433961,-0.0028254820290217,0.0057884789137923,0.0115479438536878,-0.0081109603849416,-0.0012143005957647,-0.0033250466445965,0.0068755415127307,-0.0044129702274284,gaussian
5_30000_30,-0.0025840995702961,-0.0038323118530412,-0.0104573423645615,0.0091271068428126,-0.0046730872192834,-0.0174540067882436,0.0080741115153114,0.016516998512588,-0.0069721593618105,-0.0098751800522098,-0.0050013713065485,-0.0047028176606623,-0.0019893924266847,9.038225084615094e-05,0.0069186095054438,0.0145091038255342,0.0007618462313411,0.0032941372476915,0.0078301353629437,0.0005772324212951,0.0053854402808997,-0.0058428877656536,-0.0037486173426789,0.0092265325667805,-0.0056011357045088,0.0113040126097713,0.0064522694115591,0.0008826203568074,0.0010023271773267,-0.000694529258431,-0.0001024249626392,-0.0022577369078092,-0.0066144142228185,0.0074137304722749,-0.008023073676189,-0.0056141808865352,-0.0151808017187422,-0.0050051358706241,-0.0064648700493117,0.0036410666314853,0.0089474188790832,-0.0009454485314977,-0.0043041656842044,0.0003406724459028,0.0051917460751068,0.0008960174744627,gaussian
6_30000_30,-0.0015238665915345,-0.0013659446105511,-0.0048509408620342,0.0062325830262551,-0.0116335700816022,-0.0087630310369242,-0.0058343673375334,0.0074559205471762,0.0011324110511831,-0.0035418030243079,-0.004116795474829,0.0195874878775644,-0.0044770938463015,-0.000378915107681,0.0044548212243622,0.0052571798272153,0.0005387302201556,0.0056325541838808,0.0120720692601451,0.0045101547363226,-0.0070274827510577,-0.0062078131839373,-6.85508054562851e-05,0.0052699466287687,-0.0050106922014575,-0.0049191568656882,0.003039993891212,0.0095247339913728,0.004149703696585,-0.0016081490896186,-0.005681756589146,0.0015045987843755,-0.0060431947140589,0.0137689453307559,-0.011819353645558,0.0018571867120216,-0.0249204666201514,-0.0030394418993448,-0.0018427175213643,0.0039378174956958,0.0152405344791143,-0.0042808343327841,-0.0085657096937443,0.0008288898478058,0.0045142452823512,-0.0061749853000785,gaussian
7_30000_30,-0.0004500493688261,-0.0071892890619995,0.0041644671437939,0.0021268362696049,-0.0082110968586347,-0.0039837566256752,-0.0018901340676563,0.0112368352610819,-0.0108717690350288,0.0041999836582694,0.0071901704917833,0.0050798203074938,-0.0005237820122196,-0.0001314555464904,0.008048895762848,0.0100163967902531,0.0014717557308128,0.0020527029800475,0.0124857446846596,0.009197028994543,-0.0059922994065743,-0.0136066892369559,-0.0015551903952609,-0.0122532964941857,-0.0070951911907802,0.0036497382018997,-0.0003798512424059,0.0004155241585211,-0.0085956512802046,-0.0162598930266762,-0.0046230482221838,-0.0041810053001423,0.0065638365830801,0.0023496837677966,-0.0165206189281771,0.0054031501372458,-0.0205280494178756,-0.0028552962718842,-0.0042408051793087,0.0013767958191753,0.0095696029381262,4.446435651973861e-05,-0.0029057997997547,-0.0009030210137169,0.0058487738418702,-0.0098698761834336,gaussian
8_30000_30,-0.0032088104613857,-0.0046602445227195,-0.0022704279702005,0.0125826335595037,-0.0115760484130275,-0.0028686633919137,-0.0012347309826177,0.0088581597252954,-0.0018283532351468,-0.0063370613949101,-0.0032790319428535,0.0091371232334168,-0.0005865675454548,0.000149985172558,0.0086557317269625,0.006742411012081,-0.0013838910688386,0.001650629887047,0.0083998734489271,0.0039500772044676,7.559699298435862e-06,-0.0005547227464632,-0.0134833050831015,-0.000128892258127,-0.014512115563505,-0.0039529008215813,0.0050743378823462,0.0214282645605194,0.000240877435844,-0.0014756790831401,-0.0001589155434071,0.0073897379348376,-0.0010434367410398,0.0133381110593332,-0.0287600922080613,-0.000635331691254,-0.0166861633540111,-0.0040840650750077,-0.004656043198912,-0.0011620306254308,0.0096700341359846,0.0023784010403436,-0.0027755215366051,-0.0011907990056744,0.0033766720356906,-0.0035717296246934,gaussian
9_30000_30,-0.0044635237589986,0.0015328798825383,-0.0055860165646257,0.0006355434902018,-0.0101617739434635,0.0019968925303524,-0.002418237378079,0.0206862810152535,-0.0063081190524989,0.0118661307935109,0.001808185881462,0.0076279488809956,-0.0023004070733003,0.0004726284372204,0.011907946863107,0.0032049981822897,-0.0003959610376578,0.0034647464793734,0.0095326878035059,0.0075944505810653,-0.0038250405788674,-0.0008888211567225,-0.0181503199764307,-0.013644447031359,-0.0068712494467168,-0.0011101126816987,0.0019026484533054,-0.0005005869355539,-0.0112481199737701,-0.0042069709680169,0.0007905095460848,0.0007848290284136,-0.0022221041089464,0.0150947169189838,-0.0163970296657178,0.0007614998650394,-0.0194852183201789,-0.0001766958898358,-0.0069996506268366,0.0036803540347196,0.0067539964445138,-0.0004346882879354,-0.0078226418492951,-0.0033741905298026,0.0092947953584708,0.0063382591113604,gaussian
