,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,mirrored
0_9000_30,-5.397625954202113e-05,-0.000411332154118,-0.0010471161949032,0.0012379018138435,-0.0001404340867595,0.0010961425393092,0.0012211473930464,0.0007963802450265,-0.0002224178989862,-0.0113490581473255,-0.008781639468301,0.0029892398214453,-0.0001864036888879,-0.0006005953184899,0.0129864515694336,0.0035130707662037,-0.0012859272731766,0.0126123271410726,0.0042790038283107,0.0026442985482803,-0.0094791064739093,-0.0083636198617327,-0.0154831899913531,-0.0057995117156777,-0.0118764102010966,-0.0021535314213152,-0.0049954610121835,-0.017582069215505,-0.0074046464874623,0.0008140713606444,-0.002686696235493,0.0032233761438894,9.493744024643135e-05,0.0058933013545024,0.0113070354819843,-0.0019506374279777,0.0212298258141533,0.000649099919392,0.0008241847043451,0.0001055499509523,-5.56501911134721e-05,0.0006690059025148,-0.0007770375751655,0.0006539654287649,-0.0001544018102996,-0.0010496469199552,N
1_9000_30,-2.6350888892050085e-05,-0.0002661325781311,0.0022041625719696,0.0023106097620698,0.0003986089867617,0.0012066929078008,0.0015292262925289,0.0033930030885864,0.0015706291209594,-0.028122836052339,0.0134848456157612,0.0088975402514749,0.0012139730335159,-0.0025671636226165,0.0089223641922515,0.0096814497108169,-0.0020094125123551,0.004864719286845,0.0145355748792867,0.0059557045007912,-0.0023425893190696,-0.0116764766744092,-0.0090105843687723,-0.0156206390896797,-0.0063305450938388,-0.0064940219793932,0.0023722136503466,-0.0054482390109543,0.0042871267905835,-0.0006851663503546,0.0078616026193102,0.0059628958591542,0.004070372139654,0.0043849406948551,-0.0150880764615211,0.0028276926161998,-0.0350109284225789,0.003086413938574,-0.0010168752910033,-0.0015212903966036,0.0013319760738778,0.0004603876855323,0.0004077012246753,-9.969247225146187e-05,-0.0017920526018008,-0.0059331048615101,N
2_9000_30,-0.0007549048434064,-1.3929060600493052e-05,-0.0003190794549409,0.0013530476185665,-0.001557455675655,9.63456672134846e-05,0.0005318816780458,-0.00209890937681,0.0009498662013881,-0.0142599953131463,-0.0186846320042543,0.0024162125229826,0.0007902481560033,-0.0011001140928537,0.0051992065838655,0.0067000088037475,-0.0012092573079464,0.0103086027786729,0.0109827334911308,0.0016076354769665,-0.0026447583302631,-0.0050905555740778,-0.0224469668922453,-0.004918271790447,-0.0132986010911802,-0.0033823856901941,0.0036263599447218,-0.0074794789104111,-0.010167047787305,0.0108157113632326,0.0007216165735029,0.0005907029645375,0.0011452072180317,0.0023162368178831,0.0053890146291154,-0.0035059234098294,0.0141499087186386,0.0026958033905445,-6.067269976034336e-05,-0.0003497371745597,0.0015027026811463,0.000868423319445,0.0005654775247802,0.0002908858699906,-0.0023184800550136,-0.0009161007230934,N
3_9000_30,0.0008289210406692,-0.0010926853775661,-0.0017958900545629,-0.0002888744260368,-0.0009248031171629,-0.0017839593678329,0.0003794222661327,0.0015297233538118,3.6223678724255343e-06,-0.0113679719150422,-0.0087149533164513,-0.002730409594183,0.0002374857492056,0.0010834425668523,0.0073850177657612,0.0036020806453677,0.0001293017654684,0.0148984465776405,0.0100125980611461,0.0009813927868258,-0.0074600790993975,-0.0027046183666936,-0.0188074896885501,-0.002411334529679,-0.0117710974428969,-0.0100101439294754,-0.0050338122950487,-0.003823634829694,-0.0045676303201684,0.0061859798466403,-0.0025403341784708,-0.005498592571173,0.0002602533203909,0.0042253402594129,-0.0181201566907548,-0.0039175158655301,0.0283810999877429,0.0002984757413823,-0.0001192695718742,-0.0008101491710382,0.0008096407687207,0.0011112211270763,0.0010653562129554,-0.0002134917733752,3.672009243638746e-06,-0.0005649152386873,N
4_9000_30,0.0006633521349975,0.0016611467166288,-6.366643528924083e-05,0.0009730585485861,0.0014125958339749,-0.0006974307064163,0.0010605957833382,0.0015063164333471,0.0002163841325166,-0.0134144393353053,-0.0115111550852762,0.007682360565392,0.0017867824768976,-0.000700606125722,0.0099095809673199,0.0092711957072898,-0.0001432889349869,0.0091254860035109,0.0090041053932382,0.0030505781582099,-0.0028307597141133,-0.0050990722115386,-0.0134745747456824,-0.0075579794845841,-0.012653556491548,-0.0009790975790937,-0.000645235541366,-0.0048312093538509,-0.0073669455118357,0.0027712262437733,0.0030617086581532,0.0014992820963089,0.0015596663347474,0.0030349835257977,0.0033734632817579,-0.000385612130208,0.0033272307516353,7.987571994982842e-05,-0.0004364935292387,0.0001823962615322,0.0012192767935629,0.0007540318428932,0.0001225432096947,0.0014634846368096,0.0008729881943686,-0.0001499180384541,N
5_9000_30,0.0015315405392705,-0.0019025509946549,-0.0014682647164409,0.0004439372573929,-0.0016150955040023,-0.0004932490061176,0.0045850032143453,0.0005844049897877,0.0014919715404583,-0.0096191002861182,0.0098314377026275,-0.0018747107413771,-0.0009520287594239,-0.0004660637317356,0.0110215452460434,0.0100380991458688,0.0044125253378873,0.0075450817368098,0.0056217520954257,0.0061676902572904,-0.0074693986085305,-0.0042280158187724,-0.0125820244883363,-0.0103288181719621,-0.011041096771959,-0.0072128430883268,-0.0003548387723006,-0.0109190714172439,-0.0057753439332241,-0.0016296852240388,-0.0044625454834317,-0.0030759094529981,0.0018979964907857,0.0057439263343113,0.0027319249685347,-0.0057065884983865,-0.0150713343686182,0.0005795242053135,-0.0010076983152314,-0.0001873625751739,-0.0026463643782593,0.0034474927919395,0.001139663099667,0.0009049508949567,-0.0002416120044547,0.0019788502887177,N
6_9000_30,-0.0017547147963386,-0.0015249663364681,0.0018002993257421,-0.0011294419626122,-0.0006108093915665,-0.0005766970339403,-0.0008200760357529,0.0003174233784075,0.0004015758503119,-0.0210415158336263,0.0096494860623865,0.022242079650806,-0.0020268185288094,-0.0005290632313345,-6.207155186877787e-05,0.0095396902347802,-0.0020862563114612,0.0031187232514843,0.0133297246869217,0.0151719810448966,-0.0029971244722847,-0.0048998053177442,-0.0109415030406353,-0.0071931927396905,-0.0077864870117977,-0.0010423579103122,0.0072872217939364,-0.0056302236265554,-0.0061020761504071,-0.001021283882159,0.003528781517532,0.0001318874641007,0.0042679974798816,-0.0010016488091207,-0.0116568512036544,0.0003099831240974,-0.0269982482676105,0.0005152924718643,0.0004693049033449,-0.0005944217102597,0.0013475657633536,-0.0002831024293146,-0.0014564882040058,0.0002092317472196,-0.0007006639659868,-0.0034860985668783,N
7_9000_30,0.0005055117078785,0.0014967667437333,0.0006577927340702,0.000239842662514,0.00057113619302,0.0007151745188971,7.565525267311588e-05,0.0001647688284808,0.0001093048942251,-0.0022914684016832,-0.0013798644749903,0.0140823337579772,-0.001530249588172,-0.0010094861855915,-0.0034101363965928,0.004430797559543,0.0019253475651479,0.0040551787984714,0.0101754799232441,0.0080968370298122,-0.0099977874783857,-0.0047282306686024,-0.007412707609555,-0.0071152727783844,-0.0097313989080195,-0.0128672072663303,0.0068920294014526,-0.0033458170850529,-0.0060370670831529,-0.0042174138625758,0.0029190398924996,0.0019124521991272,-0.0031292494194005,-0.0077384405571019,-0.0120134906406405,0.0041034055351368,-0.0085259799297891,0.0012063804089967,-0.0003210297277112,0.0003871043445461,-0.0003256665591176,0.0010819054807805,-0.0001963021940358,3.1312935504279e-05,0.0022237125597091,-0.0031015041928802,N
8_9000_30,0.0024563335959988,-0.0022992493209351,-0.0015112175535401,-0.0013217865378402,-0.0021860110683122,-0.0016250686205618,0.000725139006641,0.0007832833214862,0.0009955093480827,-0.0075288696477143,0.006026281212172,0.0286060580978961,-0.0014968840524198,0.0011680379902727,0.003342415726966,0.0039092383162471,-0.0031851247404947,0.0064274311092938,0.0061612171861781,0.0050461404544551,-0.0045711669176917,-0.0038017599088288,-0.0062033976945239,-0.0188524151952005,-0.0065861092305457,9.127686259581258e-05,0.0160753273337903,-0.0064586111908548,-0.0069173877398678,0.0019847873778158,0.0082565119196854,0.0064353866697224,0.000973088486937,-0.0032115032941388,0.0004268142344919,-0.0011436382881038,-0.0178186219451188,0.0012116165231746,-0.0031284398311654,0.001320139441799,-0.0002724672882109,0.0012002929223088,-0.0010857646194001,-0.0024832266158549,0.000617614071326,-0.0047168104425767,N
9_9000_30,0.0034043795808883,-0.002413412496509,-0.0035135786600177,0.0008460677151741,-0.0005118535761384,-0.0008596786401573,0.0002473551552857,0.0010329487206121,0.0012589290053787,-0.0010005168403862,-0.0002780949609086,0.0071156512532442,-0.0004400631047072,-0.0034899420587,-0.0027282007661997,0.0029233169137845,-0.0014239913789825,0.0101052860631874,0.0092070523511528,0.0039363452410306,-0.0090132426168213,-0.0055404532555877,-0.0182076667375135,-0.0068337208279537,-0.0125042017813548,-0.0121322097984827,-0.0004975344939108,-0.0053372341200883,-0.0116629662788271,-0.0014129487531958,0.0034534636396678,0.0029430334492765,0.0018929399579806,-0.0069669866123448,-0.0211106986804151,-0.0003467817551223,0.0163230544675701,-0.0009299089152323,0.0002639589374373,-0.0003166135215548,0.0005160580301768,0.00027295162817,0.0010070232255999,0.0010541763143319,0.0007792487681494,0.0014960376831961,N
10_9000_30,0.0015813100248774,-0.0013387141778437,0.0005988251054048,-0.0002600518101621,-0.0003832955082519,-0.0003804590619561,-0.0054735805332176,-0.0003581893333706,-0.0071623318569342,-0.0171956637678292,0.0005293844353556,0.008547904307541,0.0002666942494285,0.0009088855770397,0.0068738955101251,-0.006852057409496,-0.0021292685731429,0.0081322225516073,0.0216056810813108,-0.0079760505062187,0.0066256090812153,-0.0033441059419741,-0.0043059631349871,-0.0159795670138939,-0.0079467283392663,0.0066383579731745,0.0251766988835173,-0.0161395402605661,-0.0063025128177175,0.020253168417925,0.0035647487565884,-0.0016005964063472,0.005043075158499,-0.002031944103872,-0.0118820430212313,-0.0011882131627751,-0.0237724875662246,0.0009918174585859,0.000686204767468,-0.0009500113851468,0.003545555574361,0.0015472348159288,-0.0012610887436847,0.0030094393343809,0.0003181798705322,-0.0030294769508429,N
11_9000_30,0.000702578972403,-0.000517655664474,-0.0047624170949042,0.0004818507301844,0.0025956009266225,0.0004092123727109,0.0040367652427803,0.001266000546003,-0.0011403951975377,-0.0013826744697046,0.005570202430223,0.0113582584155512,-0.0019364062844504,-0.0039678556686987,0.0086595889892584,-0.0014448866034559,-0.0012892973192036,0.0019305893013401,0.0147965225508459,0.0007045700298223,-0.0016904731278408,-0.0043931894644621,-0.0055404388793507,-0.0215165927200387,-0.0060642481018625,0.0020255547673675,0.0252763213669877,-0.0140439301107673,-0.0021792237581521,0.0013073212705448,0.0055714244035557,0.001595538897342,-0.0012820042833733,-0.0020133935484718,-0.0193277181313254,-0.0028434066611521,-0.0202000967350002,0.0022115625294791,0.0018223106332546,0.002663077502171,0.0010207699976336,-0.0014624594230754,8.890749503660885e-05,0.0007881388878977,0.0015596182860482,-0.0046832447639229,N
12_9000_30,0.0031101153995037,2.9652684871109223e-05,0.0028698340824521,0.0028285857073208,0.0007725259242413,0.0008547588401139,-7.109337434058997e-05,0.0004012965597284,0.003219343573112,-0.013237954321287,-0.0113616444437283,-0.0012842852512286,-0.0006210356676357,-0.0045364187994844,0.0028772270037609,0.0083547143167744,-0.0012861068251494,0.0074145571337705,0.0055572423242455,0.0021222889678654,-0.0046980785171529,-0.0046633779240319,-0.0052722376930384,-0.0094970346557796,-0.0082318613179376,0.0188738939513473,0.0069135765783163,-0.0050061241721019,-0.0051151448908378,0.0019760948829242,-9.57849977411758e-05,0.0035878743655055,0.0039520625213036,0.0051639260626154,0.0060728810965651,0.0015343088029293,-0.0039188652308872,-0.0003078714806434,0.0001075333329922,-0.0019216133262893,0.0006255171676481,0.0002959296068292,-0.0015591199407825,0.0008746840898476,-6.271639866358489e-05,-0.0010831865744937,N
